id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
5282,AnaptysBio,biotech,1,0,0,0,,USA,San Diego,2006,2013,4,45046511,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,1,1,0,0,0,2005
5283,Thinktiv,other,1,0,0,0,,USA,Austin,,,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2005
5284,Advanced BioHealing,biotech,0,1,0,0,,USA,Westport,2005,2007,2,33500000,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2003
5285,Napkin Labs,software,1,0,0,0,,USA,Denver,2010,2012,3,2401536,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5286,MdotM,mobile,1,0,0,0,,USA,SF Bay,,,0,0,1,0,2,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2009
5287,OneHealth Solutions,health,1,0,0,0,,USA,San Diego,2010,2013,2,16000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2007
5288,myhomepage,software,1,0,0,0,,GBR,London,2009,2010,7,637496,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5289,Asuragen,biotech,1,0,0,0,,USA,Austin,2006,2013,4,80000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2006
5290,The Gifts Project,ecommerce,0,1,0,0,,ISR,Tel Aviv,2009,2010,2,1000000,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2009
5291,AutoGenomics,biotech,1,0,0,0,,USA,San Diego,2007,2013,2,12165600,5,0,1,0,0,1,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1999
